id	effectiveTime	active	moduleId	definitionStatusId
428392002		0	900000000000207008	900000000000074008
417424008		0	900000000000207008	900000000000074008
274148003		0	900000000000207008	900000000000074008
12541004		0	900000000000207008	900000000000074008
214163002		0	900000000000207008	900000000000074008
473080007		0	900000000000207008	900000000000074008
249514002		0	900000000000207008	900000000000074008
92984004		1	900000000000207008	900000000000073002
236425005		1	900000000000207008	900000000000073002
210479004		0	900000000000207008	900000000000074008
36745003		0	900000000000207008	900000000000074008
234406005		0	900000000000207008	900000000000074008
367530008		0	900000000000207008	900000000000074008
92988001		1	900000000000207008	900000000000073002
161594007		0	900000000000207008	900000000000074008
197605007		1	900000000000207008	900000000000073002
395102008		0	900000000000207008	900000000000074008
267094008		0	900000000000207008	900000000000074008
182782007		0	900000000000207008	900000000000074008
313540005		0	900000000000207008	900000000000074008
161591004		0	900000000000207008	900000000000074008
407580005		0	900000000000207008	900000000000074008
165227003		0	900000000000207008	900000000000074008
367420002		0	900000000000207008	900000000000074008
301913002		1	900000000000207008	900000000000074008
161606005		0	900000000000207008	900000000000074008
23346002		0	900000000000207008	900000000000074008
161612000		0	900000000000207008	900000000000074008
165226007		0	900000000000207008	900000000000074008
365195009		0	900000000000207008	900000000000074008
92989009		1	900000000000207008	900000000000073002
1551000119108		1	900000000000207008	900000000000073002
771000119108		1	900000000000207008	900000000000073002
751000119104		1	900000000000207008	900000000000073002
741000119101		1	900000000000207008	900000000000073002
731000119105		1	900000000000207008	900000000000073002
721000119107		1	900000000000207008	900000000000073002
711000119100		1	900000000000207008	900000000000073002
1521000119100		1	900000000000207008	900000000000073002
1491000119102		1	900000000000207008	900000000000073002
441000119109		0	900000000000207008	900000000000074008
11000119105		0	900000000000207008	900000000000074008
92983005		1	900000000000207008	900000000000073002
240675006		0	900000000000207008	900000000000074008
367508007		0	900000000000207008	900000000000074008
267437005		0	900000000000207008	900000000000074008
332649001		0	900000000000207008	900000000000074008
407463008		0	900000000000207008	900000000000074008
404657004		0	900000000000207008	900000000000074008
445328000		1	900000000000207008	900000000000074008
214461009		0	900000000000207008	900000000000074008
205801004		0	900000000000207008	900000000000074008
314095002		0	900000000000207008	900000000000074008
161602007		0	900000000000207008	900000000000074008
60782007		0	900000000000207008	900000000000074008
203671001		0	900000000000207008	900000000000074008
161595008		0	900000000000207008	900000000000074008
196365008		0	900000000000207008	900000000000074008
86347007		1	900000000000207008	900000000000073002
190700007		0	900000000000207008	900000000000074008
92985003		1	900000000000207008	900000000000073002
240625009		0	900000000000207008	900000000000074008
162693008		0	900000000000207008	900000000000074008
135887002		0	900000000000207008	900000000000074008
161607001		0	900000000000207008	900000000000074008
103253004		0	900000000000207008	900000000000074008
214133006		0	900000000000207008	900000000000074008
161599002		0	900000000000207008	900000000000074008
428603007		1	900000000000207008	900000000000073002
26425000		0	900000000000207008	900000000000074008
13620007		0	900000000000207008	900000000000074008
253986002		0	900000000000207008	900000000000074008
284856006		0	900000000000207008	900000000000074008
238420008		0	900000000000207008	900000000000074008
700059003		0	900000000000207008	900000000000074008
405583008		0	900000000000207008	900000000000074008
284860009		0	900000000000207008	900000000000074008
301338002		1	900000000000207008	900000000000073002
237971004		0	900000000000207008	900000000000074008
191352003		0	900000000000207008	900000000000074008
92986002		1	900000000000207008	900000000000073002
57692007		0	900000000000207008	900000000000074008
247919005		0	900000000000207008	900000000000074008
312403005		0	900000000000207008	900000000000074008
414676007		1	900000000000207008	900000000000073002
407577009		0	900000000000207008	900000000000074008
271496006		0	900000000000207008	900000000000074008
419769007		0	900000000000207008	900000000000074008
414602008		0	900000000000207008	900000000000074008
414226003		0	900000000000207008	900000000000074008
203057005		0	900000000000207008	900000000000074008
414373006		0	900000000000207008	900000000000074008
20512000		0	900000000000207008	900000000000074008
298313002		0	900000000000207008	900000000000074008
123715003		0	900000000000207008	900000000000074008
253102001		0	900000000000207008	900000000000074008
161604008		0	900000000000207008	900000000000074008
48574000		0	900000000000207008	900000000000074008
473081006		0	900000000000207008	900000000000074008
161597000		0	900000000000207008	900000000000074008
407579007		0	900000000000207008	900000000000074008
428980005		0	900000000000207008	900000000000074008
160883006		0	900000000000207008	900000000000074008
347556009		0	900000000000207008	900000000000074008
133924005		0	900000000000207008	900000000000074008
190533004		0	900000000000207008	900000000000074008
72369006		1	900000000000207008	900000000000074008
92991001		1	900000000000207008	900000000000073002
214268000		0	900000000000207008	900000000000074008
203923004		1	900000000000207008	900000000000073002
417556003		0	900000000000207008	900000000000074008
703425009		0	900000000000207008	900000000000074008
56611009		0	900000000000207008	900000000000074008
373669009		0	900000000000207008	900000000000074008
117653000		0	900000000000207008	900000000000074008
161608006		0	900000000000207008	900000000000074008
284857002		0	900000000000207008	900000000000074008
314894004		0	900000000000207008	900000000000074008
44385007		0	900000000000207008	900000000000074008
214283005		0	900000000000207008	900000000000074008
699760008		0	900000000000207008	900000000000074008
164146004		0	900000000000207008	900000000000074008
95908009		0	900000000000207008	900000000000074008
365447006		0	900000000000207008	900000000000074008
284858007		0	900000000000207008	900000000000074008
274616003		0	900000000000207008	900000000000074008
403617009		1	900000000000207008	900000000000074008
416373009		0	900000000000207008	900000000000074008
161601000		0	900000000000207008	900000000000074008
286948009		0	900000000000207008	900000000000074008
703683006		0	900000000000207008	900000000000074008
161598005		0	900000000000207008	900000000000074008
443871003		1	900000000000207008	900000000000074008
103029004		1	900000000000207008	900000000000074008
403960003		0	900000000000207008	900000000000074008
240913009		0	900000000000207008	900000000000074008
92982000		1	900000000000207008	900000000000073002
195747001		0	900000000000207008	900000000000074008
286853000		0	900000000000207008	900000000000074008
188651007		0	900000000000207008	900000000000074008
238856004		0	900000000000207008	900000000000074008
72298008		0	900000000000207008	900000000000074008
700060008		0	900000000000207008	900000000000074008
111393000		0	900000000000207008	900000000000074008
59780005		0	900000000000207008	900000000000074008
214986008		0	900000000000207008	900000000000074008
500000		0	900000000000207008	900000000000074008
193017009		0	900000000000207008	900000000000074008
161605009		0	900000000000207008	900000000000074008
225960007		0	900000000000207008	900000000000074008
367367004		0	900000000000207008	900000000000074008
87788003		0	900000000000207008	900000000000074008
165225006		0	900000000000207008	900000000000074008
