id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget	attributeId	correlationId	contentOriginId
8017aca6-48fd-415c-921a-70d2689aa63b	20140926	1	705115006	705112009	118290009	LP14980-4	704320005	447557004	705119000
80227bab-54d8-4357-8d55-412bdf47aac0	20140926	1	705115006	705112009	120953000	LP37704-1	704320005	447557004	705119000
8027f251-c458-4d67-affe-1d5d618e51ac	20140926	1	705115006	705112009	75799006	LP15716-1	704320005	447559001	705119000
802a251b-53d7-4746-acad-83da950ef4a3	20140926	1	705115006	705112009	38082009	LP15597-5	704320005	447557004	705119000
807e502a-4ada-433e-b4c3-c914409444f3	20140926	1	705115006	705112009	74889000	LP14674-3	704320005	447559001	705119000
807f86b4-8703-4365-a064-99456649b015	20140926	1	705115006	705112009	387931007	LP148011-2	704320005	447557004	705119000
80ad9d05-29d5-428b-8e9c-9fade2d15078	20140926	1	705115006	705112009	119339001	LP7604-4	704327008	447558009	705119000
80b0e499-a484-4ae6-9275-6736fb4d4903	20140926	1	705115006	705112009	46046006	LP14669-3	704320005	447559001	705119000
80e469b8-30c7-4d2d-9fc3-a3574b8da5f7	20140926	1	705115006	705112009	121113008	LP38360-1	704320005	447557004	705119000
80f2b5f6-d56b-4732-b1f3-b39adb4a2405	20140926	1	705115006	705112009	258603007	LP7556-6	704327008	447558009	705119000
80fb92c2-039e-4772-983d-4f14103e0056	20140926	1	705115006	705112009	387362001	LP15027-3	704320005	447559001	705119000
80fcd3a6-c5a5-43ab-92c5-cc897c9aaab6	20140926	1	705115006	705112009	116396007	LP18335-7	704320005	447557004	705119000
8122af81-634c-4cd8-8c13-75e7e2545258	20140926	1	705115006	705112009	120843002	LP38688-5	704320005	447557004	705119000
818ab709-f6f8-4690-8906-6fc598200371	20140926	1	705115006	705112009	444300001	LP38902-0	704320005	447557004	705119000
81cface2-38ad-4405-8ce4-0dbad531dd04	20140926	1	705115006	705112009	120684001	LP38288-4	704320005	447557004	705119000
81d28ae8-36b7-46bd-9f3d-9e95a80f22cb	20140926	1	705115006	705112009	54180004	LP15952-2	704320005	447557004	705119000
81f829fe-99a6-4bc4-9077-a727ea3b5115	20140926	1	705115006	705112009	22290004	LP38331-2	704320005	447557004	705119000
820411d8-657b-42c2-b2eb-d3b1c6bc505a	20140926	1	705115006	705112009	120881007	LP37116-8	704320005	447557004	705119000
821da459-1ad1-478d-983b-a05a0ed7d20f	20140926	1	705115006	705112009	703496004	LP29151-5	704320005	447558009	705117003
82379868-cbe0-45ec-b951-5e859d237ca4	20140926	1	705115006	705112009	118544000	LP6833-0	704318007	447557004	705119000
824d007a-4c71-42be-a363-36c5040d4201	20140926	1	705115006	705112009	102640000	LP15666-8	704320005	447557004	705119000
82603532-00a1-49ce-aa82-a3007b489a2d	20140926	1	705115006	705112009	118578006	LP21276-8	704318007	447557004	705119000
82896bea-560c-46e0-a436-7581334a3d49	20140926	1	705115006	705112009	127564008	LP17593-2	704320005	447557004	705119000
82a2c745-3a74-45b1-bc21-b1facfff1886	20140926	1	705115006	705112009	39360003	LP100184-3	704320005	447557004	705119000
82dd3e2c-8b43-425a-a0c2-32ba6bca256a	20140926	1	705115006	705112009	65640000	LP16490-2	704320005	447557004	705119000
82e2ff02-bfae-43cb-87e9-1d2d1af2761b	20140926	1	705115006	705112009	410652009	LP29829-6	704319004	447558009	705119000
82e6d137-766b-4093-a783-70f9e5514c8c	20140926	1	705115006	705112009	48486004	LP15660-1	704320005	447557004	705119000
82f622c6-6b31-41d6-b270-1665bcd4b5e5	20140926	1	705115006	705112009	115451008	LP18453-8	704320005	447557004	705119000
830a6dfd-4e77-4a8e-92e1-730a324f70ce	20140926	1	705115006	705112009	116979004	LP39831-0	704320005	447557004	705119000
830b44e8-72b2-4f12-a39b-2b3080abab6e	20140926	1	705115006	705112009	26351002	LP15827-6	704320005	447557004	705119000
832195ff-4cd1-49e3-a359-6f5ca98ec1bb	20140926	1	705115006	705112009	120749007	LP37280-2	704320005	447557004	705119000
8333148e-ee26-40f3-9f6a-6f42584ffd5c	20140926	1	705115006	705112009	63730009	LP14649-5	704320005	447557004	705119000
8348f475-8517-4d7b-b443-c4581a5ca2db	20140926	1	705115006	705112009	37959007	LP15837-5	704324001	447559001	705119000
83501afa-1135-47cd-be41-7ed80ef2be67	20140926	1	705115006	705112009	50622004	LP14024-1	704320005	447557004	705119000
83e4734e-3b9c-4401-bbe5-e38e00171ecf	20140926	1	705115006	705112009	115373002	LP18424-9	704320005	447557004	705119000
83e7319b-31f7-4d40-a102-e33436a2354f	20140926	1	705115006	705112009	115593006	LP18394-4	704320005	447557004	705119000
842f3878-b73b-49cd-a4e3-f9ed74b284ce	20140926	1	705115006	705112009	59570008	LP15907-6	704320005	447559001	705119000
843945b1-4b6c-4b09-a864-597461edfa11	20140926	1	705115006	705112009	68615006	LP15441-6	704320005	447559001	705119000
845bbb21-351f-40cc-ae4e-54e89d18309f	20140926	1	705115006	705112009	26183002	LP14556-2	704320005	447557004	705119000
84772bc1-e06e-4250-ac0f-4c0a0abf92cc	20140926	1	705115006	705112009	703745000	LP16302-9	704320005	447557004	705117003
8491a255-198e-483a-8e3d-80ab0291c067	20140926	1	705115006	705112009	120734004	LP37906-2	704320005	447557004	705119000
84b802ba-fc4e-47e7-be75-1234571230ba	20140926	1	705115006	705112009	121006005	LP38644-8	704320005	447557004	705119000
85220eb2-6787-47c8-ae50-65789cb08631	20140926	1	705115006	705112009	50863008	LP7494-0	704319004	447558009	705119000
85245eb5-4ba3-44ec-a5f4-50c0f7599206	20140926	1	705115006	705112009	407479009	LP14239-5	704320005	447557004	705119000
8526a6dd-88da-4b57-be20-e6193069261c	20140926	1	705115006	705112009	119365002	LP7726-5	704327008	447558009	705119000
852fa3c4-6f55-4499-a98c-197ff9484a32	20140926	1	705115006	705112009	4104007	LP14491-2	704320005	447557004	705119000
853c9662-7375-4184-bd35-7372e44ea0a4	20140926	1	705115006	705112009	120816007	LP37977-3	704320005	447557004	705119000
853f0a85-fd0a-4ef8-aeff-1e0428a73926	20140926	1	705115006	705112009	59674005	LP39210-7	704320005	447557004	705119000
8540a38b-5a97-42d2-955e-f1fd9aeb87d6	20140926	1	705115006	705112009	78981005	LP39114-1	704320005	447557004	705119000
854d45ea-de00-4ee7-a156-9d22fe60b750	20140926	1	705115006	705112009	703438001	LP6224-2	246501002	447557004	705117003
85568567-c1be-455b-9518-8dacc602217e	20140926	1	705115006	705112009	87316007	LP15155-2	704324001	447559001	705119000
8556d181-4be0-4887-887d-2639c6b962e5	20140926	1	705115006	705112009	23816007	LP15883-9	704320005	447559001	705119000
858a245b-5905-4cff-ad71-2fa57f580086	20140926	1	705115006	705112009	102732004	LP18861-2	704320005	447557004	705119000
85a0abe6-0027-40cc-bd4b-f0f43cb6e07e	20140926	1	705115006	705112009	387957005	LP148020-3	704320005	447557004	705119000
85b822ca-7856-45c6-94e8-4b31feac7db6	20140926	1	705115006	705112009	46120009	LP17185-7	704324001	447559001	705119000
85d34778-68cb-4727-b7e5-d5001b78a251	20140926	1	705115006	705112009	703439009	LP63621-4	246501002	447557004	705117003
860bace4-570d-4df4-938a-ae41d49a8f3b	20140926	1	705115006	705112009	410668003	LP6822-3	704318007	447557004	705119000
860f0a8e-005a-463f-a1dc-102bfe2e85eb	20140926	1	705115006	705112009	87399004	LP15410-1	704320005	447557004	705119000
863dd559-85eb-4a7e-959a-664f9d3796c5	20140926	1	705115006	705112009	703770000	LP20609-1	704326004	447557004	705117003
8656e907-4102-4e42-a586-16aba1fdd0ee	20140926	1	705115006	705112009	120855008	LP39445-9	704320005	447557004	705119000
8664ae3a-dec0-4cac-8b97-3a1323fd9b1e	20140926	1	705115006	705112009	64128006	LP15805-2	704320005	447557004	705119000
8681ae75-6525-478c-bf4c-80b68e778cbf	20140926	1	705115006	705112009	5595000	LP20802-2	704320005	447557004	705119000
8688e37d-b5d4-4600-a303-5de06ef60129	20140926	1	705115006	705112009	40940006	LP14329-4	704324001	447559001	705119000
86a529a6-2a3b-410e-955c-c3eeb5589cba	20140926	1	705115006	705112009	130494008	LP32455-5	704320005	447557004	705119000
86b2cb5c-be1a-49b0-b06c-514e236b7671	20140926	1	705115006	705112009	64033007	LP7380-1	704319004	447558009	705119000
86fdc680-4003-4e38-bbe8-eeb8644d2905	20140926	1	705115006	705112009	703750006	LP6103-8	246501002	447557004	705117003
8701f972-8783-4f01-a477-d581841a09b1	20140926	1	705115006	705112009	29680004	LP40098-3	704320005	447557004	705119000
870e4baf-9be3-4c59-a918-e29de31634b6	20140926	1	705115006	705112009	31744003	LP15757-5	704320005	447557004	705119000
87290354-33be-48d9-9d12-587aa3556587	20140926	1	705115006	705112009	31299006	LP14554-7	704320005	447557004	705119000
8736ac92-deae-414e-9c13-7c55e183fc6a	20140926	1	705115006	705112009	703501003	LP6503-9	246501002	447557004	705117003
875884b0-e24f-4805-9996-df0194cc16be	20140926	1	705115006	705112009	102764006	LP15801-1	704320005	447557004	705119000
87729a1b-f187-4deb-a1da-772f3d3f106b	20140926	1	705115006	705112009	116987003	LP38442-7	704320005	447557004	705119000
8787c8e4-4525-4bec-be05-64a7e3dbca90	20140926	1	705115006	705112009	10944007	LP15878-9	704324001	447559001	705119000
