id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
5220524026	20140731	1	900000000000207008	467169007	705178002	0	116680003	900000000000011006	900000000000451002
5220525025	20140731	1	900000000000207008	469828007	705178002	0	116680003	900000000000011006	900000000000451002
5220526029	20140731	1	900000000000207008	469826006	705178002	0	116680003	900000000000011006	900000000000451002
5220527022	20140731	1	900000000000207008	466010005	705178002	0	116680003	900000000000011006	900000000000451002
5220528028	20140731	1	900000000000207008	470242001	705178002	0	116680003	900000000000011006	900000000000451002
5220529020	20140731	1	900000000000207008	470470001	705178002	0	116680003	900000000000011006	900000000000451002
5220530026	20140731	1	900000000000207008	469545007	705178002	0	116680003	900000000000011006	900000000000451002
5220531027	20140731	1	900000000000207008	469228001	705178002	0	116680003	900000000000011006	900000000000451002
5220532023	20140731	1	900000000000207008	463502008	705178002	0	116680003	900000000000011006	900000000000451002
5220533029	20140731	1	900000000000207008	465129005	705178002	0	116680003	900000000000011006	900000000000451002
5220534024	20140731	1	900000000000207008	470029007	705178002	0	116680003	900000000000011006	900000000000451002
5220535020	20140731	1	900000000000207008	465639003	705178002	0	116680003	900000000000011006	900000000000451002
5220536021	20140731	1	900000000000207008	466781009	705178002	0	116680003	900000000000011006	900000000000451002
5220537028	20140731	1	900000000000207008	467089006	705178002	0	116680003	900000000000011006	900000000000451002
5220538022	20140731	1	900000000000207008	462865008	705178002	0	116680003	900000000000011006	900000000000451002
5220539025	20140731	1	900000000000207008	467084001	705178002	0	116680003	900000000000011006	900000000000451002
5220540028	20140731	1	900000000000207008	465539007	705178002	0	116680003	900000000000011006	900000000000451002
5220541029	20140731	1	900000000000207008	466812003	705178002	0	116680003	900000000000011006	900000000000451002
5220542020	20140731	1	900000000000207008	467264007	705178002	0	116680003	900000000000011006	900000000000451002
5220543026	20140731	1	900000000000207008	467295000	705178002	0	116680003	900000000000011006	900000000000451002
5220544021	20140731	1	900000000000207008	467105004	705178002	0	116680003	900000000000011006	900000000000451002
5220545022	20140731	1	900000000000207008	465745001	705178002	0	116680003	900000000000011006	900000000000451002
5220546023	20140731	1	900000000000207008	469884007	705178002	0	116680003	900000000000011006	900000000000451002
5220547025	20140731	1	900000000000207008	466897005	705178002	0	116680003	900000000000011006	900000000000451002
5220548024	20140731	1	900000000000207008	462306002	705178002	0	116680003	900000000000011006	900000000000451002
5220549027	20140731	1	900000000000207008	467516002	705178002	0	116680003	900000000000011006	900000000000451002
5220550027	20140731	1	900000000000207008	466502001	705178002	0	116680003	900000000000011006	900000000000451002
5220551028	20140731	1	900000000000207008	466355008	705178002	0	116680003	900000000000011006	900000000000451002
5220552024	20140731	1	900000000000207008	467064000	705178002	0	116680003	900000000000011006	900000000000451002
5220553025	20140731	1	900000000000207008	467115005	705178002	0	116680003	900000000000011006	900000000000451002
