id	effectiveTime	active	moduleId	refSetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId	mapCategoryId
97530707-1178-593c-9fd0-a6f68744da20	20140731	1	900000000000207008	450993002	2089002	1	1	TRUE	ALWAYS L99	L99	447561005	447637006
13fdca23-b6e1-5fa1-90f9-e4415b419c38	20140731	1	900000000000207008	450993002	2177002	1	1	TRUE	ALWAYS S70	S70	447561005	447637006
dcf3706a-8445-5f29-9acf-a2279748841e	20140731	1	900000000000207008	450993002	2237002	1	1	TRUE	ALWAYS R01	R01	447561005	447637006
eebdc8aa-d5d6-5037-84cc-2ae81d932c99	20140731	1	900000000000207008	450993002	2314005	1	1	TRUE	ALWAYS A23	A23	447561005	447637006
6a9d5424-3dc3-54fe-9fd7-b5cfe583206c	20140731	1	900000000000207008	450993002	2435008	1	1	TRUE	ALWAYS D96	D96	447561005	447637006
615b6a04-cd5b-54c2-9217-2d259ac7dd14	20140731	1	900000000000207008	450993002	2470005	1	1	TRUE	ALWAYS N80	N80	447561005	447637006
122f4f39-166d-55b8-adcb-18d84d11074c	20140731	1	900000000000207008	450993002	2472002	1	1	TRUE	ALWAYS U05	U05	447561005	447637006
aa07bbb2-b932-5c1c-a9fb-25f24e5022e9	20140731	1	900000000000207008	450993002	2492009	1	1	TRUE	ALWAYS T99	T99	447561005	447637006
432a7e54-df31-580c-97de-181281783687	20140731	1	900000000000207008	450993002	2528003	1	1	TRUE	ALWAYS A77	A77	447561005	447637006
c90df3ca-eb9b-5d0f-93cc-b9360690dc28	20140731	1	900000000000207008	450993002	2576002	1	1	TRUE	ALWAYS F86	F86	447561005	447637006
6d3ef620-db0e-5b7a-b9ea-ced439b836b2	20140731	1	900000000000207008	450993002	2606006	1	1	TRUE	ALWAYS S10	S10	447561005	447637006
0decf8ba-590c-5aec-b6f2-a0290851ca8b	20140731	1	900000000000207008	450993002	2622007	1	1	TRUE	ALWAYS S97	S97	447561005	447637006
eb073e11-e5e2-5eee-b5dd-55a3770b0542	20140731	1	900000000000207008	450993002	2733002	1	1	TRUE	ALWAYS L17	L17	447561005	447637006
d66900c5-1565-55e1-bf58-3248692c0354	20140731	1	900000000000207008	450993002	2776000	1	1	TRUE	ALWAYS P71	P71	447561005	447637006
1b56d855-b358-5515-8bfa-78ddac3a7cf3	20140731	1	900000000000207008	450993002	2858002	1	1	TRUE	ALWAYS W70	W70	447561005	447637006
873b3dfd-6792-5b7b-a965-a3559184f419	20140731	1	900000000000207008	450993002	2904007	1	1	TRUE	ALWAYS Y10	Y10	447561005	447637006
0194249c-8821-527d-ba48-c34de4416d38	20140731	1	900000000000207008	450993002	2910007	1	1	TRUE	ALWAYS Y03	Y03	447561005	447637006
f5596f40-1d19-53c0-a7bc-070c5eb938d8	20140731	1	900000000000207008	450993002	2999009	1	1	TRUE	ALWAYS H79	H79	447561005	447637006
3657f54e-abee-5739-abfe-9939ad14d20c	20140731	1	900000000000207008	450993002	3110003	1	1	TRUE	ALWAYS H71	H71	447561005	447637006
fd1e34e2-b6a5-57d3-b720-9169340bdf60	20140731	1	900000000000207008	450993002	3135009	1	1	TRUE	ALWAYS H70	H70	447561005	447637006
f35c7a58-da61-5a7f-a9d2-a7cca67b9c7b	20140731	1	900000000000207008	450993002	3199001	1	1	TRUE	ALWAYS L79	L79	447561005	447637006
a9326478-7450-52c9-bfee-0169e392fcf6	20140731	1	900000000000207008	450993002	3200003	1	1	TRUE	ALWAYS L03	L03	447561005	447637006
2d524f9c-d218-5157-8336-3e095a8b2c63	20140731	1	900000000000207008	450993002	3218000	1	1	TRUE	ALWAYS A78	A78	447561005	447637006
d24615c5-9457-5ad7-b9f4-0ad86b81e783	20140731	1	900000000000207008	450993002	3226008	1	1	TRUE	ALWAYS S88	S88	447561005	447637006
74f0db81-f38d-5c55-abdd-abed8f47fd65	20140731	1	900000000000207008	450993002	3238004	1	1	TRUE	ALWAYS K70	K70	447561005	447637006
84fa33a1-60d5-5142-afb6-9468ecd87db9	20140731	1	900000000000207008	450993002	3282008	1	1	TRUE	ALWAYS F79	F79	447561005	447637006
ae72d5e6-0756-536c-aee8-617e405820f6	20140731	1	900000000000207008	450993002	3305006	1	1	TRUE	ALWAYS B99	B99	447561005	447637006
90a7283a-08cc-5adf-84c8-0d989fe1fa9a	20140731	1	900000000000207008	450993002	3321001	1	1	TRUE	ALWAYS U70	U70	447561005	447637006
24e85dda-636a-54a6-a065-3f15d49bd39c	20140731	1	900000000000207008	450993002	3415004	1	1	TRUE	ALWAYS S08	S08	447561005	447637006
ee1952b7-e40f-5c4e-9fe9-468084527b76	20140731	1	900000000000207008	450993002	3424008	1	1	TRUE	ALWAYS K04	K04	447561005	447637006
