id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget
71405e74-6a5a-5660-8761-02cfa5e50e57	20140731	1	900000000000207008	467614008	422093005	16345
6814371b-406a-5e88-940e-df8eb535410e	20140731	1	900000000000207008	467614008	395315007	11260
8bbe6310-0604-5a50-9afb-507ab92f8687	20140731	1	900000000000207008	467614008	278117003	38590
cadb3049-3009-5e66-ad7d-5d9a781ac46d	20140731	1	900000000000207008	467614008	433472003	15687
2a5e4fff-3c9a-5b51-9b52-9d529afb9400	20140731	1	900000000000207008	467614008	257417008	45569
ab1cb189-0d2f-5d8f-b4b4-7ab8be9176e5	20140731	1	900000000000207008	467614008	369443003	34867
feef980a-4907-507e-b62b-8ed24202dbdb	20140731	1	900000000000207008	467614008	421763006	16800
b4137065-dcce-56e7-aaa6-d831dd40645c	20140731	1	900000000000207008	467614008	420827006	13235
ab818b56-b5b4-5855-bbaa-5494bda29772	20140731	1	900000000000207008	467614008	309823009	15058
d3746296-08e4-5411-bdd4-46ab14cc1d4b	20140731	1	900000000000207008	467614008	360303004	35586
a57d7aaf-e5c6-5d7e-9e75-60109c02aa06	20140731	1	900000000000207008	467614008	360287002	30045
4d55c086-70b5-51c6-b597-7dda549f9cdc	20140731	1	900000000000207008	467614008	336231005	56631
f278c201-6ca8-5613-8a6e-8b2b7fd68b4e	20140731	1	900000000000207008	467614008	257226009	15074
a8cfaa58-3d5e-52e7-a0f6-36d672d554d9	20140731	1	900000000000207008	467614008	420564007	12811
514a1add-6cf6-5c39-92bc-15545d1890dc	20140731	1	900000000000207008	467614008	421309006	32700
805f958d-2fd1-5a7d-afa9-b9662765dbef	20140731	1	900000000000207008	467614008	408861001	58742
ac0ff100-fec7-51be-a7f0-f1020435f2bd	20140731	1	900000000000207008	467614008	309821006	36653
a3c2b4e3-66d7-5278-9ec7-23178129e1d4	20140731	1	900000000000207008	467614008	272255007	38589
9b088f4a-e889-5e89-bdd4-f006826a8c05	20140731	1	900000000000207008	467614008	262090006	31875
8a43051c-357b-5518-9343-2aa7169e05c4	20140731	1	900000000000207008	467614008	257222006	36628
d0a4153d-313b-5e88-86d2-c5fe746bafe5	20140731	1	900000000000207008	467614008	397248009	35299
4443a4ce-7643-574a-9317-f94a3c910f0c	20140731	1	900000000000207008	467614008	261320009	41397
7127061d-99c6-5b55-9aa0-ecec980609e5	20140731	1	900000000000207008	467614008	360318003	41435
3a2decdd-bca5-59b6-9af7-d14128b296de	20140731	1	900000000000207008	467614008	409898007	10551
bd0c8004-719b-5f2a-86ff-19ff9f6a6282	20140731	1	900000000000207008	467614008	421120003	32708
a7a0f8e3-6ef3-5a7c-b9d3-0b9274e50e8b	20140731	1	900000000000207008	467614008	410694007	42839
d6a16282-ced5-5796-bc91-dc9e69cb6e5c	20140731	1	900000000000207008	467614008	272254006	38588
