id	effectiveTime	active	moduleId	definitionStatusId
705178002	20140731	1	900000000000207008	900000000000074008
705179005	20140731	1	900000000000207008	900000000000074008
705180008	20140731	1	900000000000207008	900000000000074008
705181007	20140731	1	900000000000207008	900000000000074008
705183005	20140731	1	900000000000207008	900000000000074008
705184004	20140731	1	900000000000207008	900000000000074008
705185003	20140731	1	900000000000207008	900000000000074008
705186002	20140731	1	900000000000207008	900000000000074008
705187006	20140731	1	900000000000207008	900000000000074008
705188001	20140731	1	900000000000207008	900000000000074008
705190000	20140731	1	900000000000207008	900000000000074008
705192008	20140731	1	900000000000207008	900000000000074008
705193003	20140731	1	900000000000207008	900000000000074008
705196006	20140731	1	900000000000207008	900000000000074008
705197002	20140731	1	900000000000207008	900000000000074008
705198007	20140731	1	900000000000207008	900000000000074008
705199004	20140731	1	900000000000207008	900000000000074008
705200001	20140731	1	900000000000207008	900000000000074008
705201002	20140731	1	900000000000207008	900000000000074008
705202009	20140731	1	900000000000207008	900000000000074008
705203004	20140731	1	900000000000207008	900000000000074008
705205006	20140731	1	900000000000207008	900000000000074008
705207003	20140731	1	900000000000207008	900000000000074008
705208008	20140731	1	900000000000207008	900000000000074008
705209000	20140731	1	900000000000207008	900000000000074008
705210005	20140731	1	900000000000207008	900000000000074008
705211009	20140731	1	900000000000207008	900000000000074008
705212002	20140731	1	900000000000207008	900000000000074008
705213007	20140731	1	900000000000207008	900000000000074008
705214001	20140731	1	900000000000207008	900000000000074008
705215000	20140731	1	900000000000207008	900000000000074008
705216004	20140731	1	900000000000207008	900000000000074008
705217008	20140731	1	900000000000207008	900000000000074008
705218003	20140731	1	900000000000207008	900000000000074008
705219006	20140731	1	900000000000207008	900000000000074008
705220000	20140731	1	900000000000207008	900000000000074008
705221001	20140731	1	900000000000207008	900000000000074008
705222008	20140731	1	900000000000207008	900000000000074008
705223003	20140731	1	900000000000207008	900000000000074008
705226006	20140731	1	900000000000207008	900000000000074008
705228007	20140731	1	900000000000207008	900000000000074008
705229004	20140731	1	900000000000207008	900000000000074008
705232001	20140731	1	900000000000207008	900000000000074008
705233006	20140731	1	900000000000207008	900000000000074008
705234000	20140731	1	900000000000207008	900000000000074008
705235004	20140731	1	900000000000207008	900000000000074008
705236003	20140731	1	900000000000207008	900000000000074008
705237007	20140731	1	900000000000207008	900000000000074008
705238002	20140731	1	900000000000207008	900000000000074008
705239005	20140731	1	900000000000207008	900000000000074008
705240007	20140731	1	900000000000207008	900000000000074008
705241006	20140731	1	900000000000207008	900000000000074008
705242004	20140731	1	900000000000207008	900000000000074008
705245002	20140731	1	900000000000207008	900000000000074008
705246001	20140731	1	900000000000207008	900000000000074008
705247005	20140731	1	900000000000207008	900000000000074008
705248000	20140731	1	900000000000207008	900000000000074008
705249008	20140731	1	900000000000207008	900000000000074008
705254004	20140731	1	900000000000207008	900000000000074008
705256002	20140731	1	900000000000207008	900000000000074008
705259009	20140731	1	900000000000207008	900000000000074008
705260004	20140731	1	900000000000207008	900000000000074008
705261000	20140731	1	900000000000207008	900000000000074008
705263002	20140731	1	900000000000207008	900000000000074008
705267001	20140731	1	900000000000207008	900000000000074008
705269003	20140731	1	900000000000207008	900000000000074008
705270002	20140731	1	900000000000207008	900000000000074008
705272005	20140731	1	900000000000207008	900000000000074008
705273000	20140731	1	900000000000207008	900000000000074008
705274006	20140731	1	900000000000207008	900000000000074008
705275007	20140731	1	900000000000207008	900000000000074008
705276008	20140731	1	900000000000207008	900000000000074008
705277004	20140731	1	900000000000207008	900000000000074008
705278009	20140731	1	900000000000207008	900000000000074008
705279001	20140731	1	900000000000207008	900000000000074008
705280003	20140731	1	900000000000207008	900000000000074008
705281004	20140731	1	900000000000207008	900000000000074008
705282006	20140731	1	900000000000207008	900000000000074008
705283001	20140731	1	900000000000207008	900000000000074008
705287000	20140731	1	900000000000207008	900000000000074008
705288005	20140731	1	900000000000207008	900000000000074008
705289002	20140731	1	900000000000207008	900000000000074008
705290006	20140731	1	900000000000207008	900000000000074008
705291005	20140731	1	900000000000207008	900000000000074008
705292003	20140731	1	900000000000207008	900000000000074008
705293008	20140731	1	900000000000207008	900000000000074008
705294002	20140731	1	900000000000207008	900000000000074008
705295001	20140731	1	900000000000207008	900000000000074008
705297009	20140731	1	900000000000207008	900000000000074008
705298004	20140731	1	900000000000207008	900000000000074008
705299007	20140731	1	900000000000207008	900000000000074008
705301000	20140731	1	900000000000207008	900000000000074008
705303002	20140731	1	900000000000207008	900000000000074008
