id	effectiveTime	active	moduleId	refSetId	referencedComponentId
8e1de038-8c7a-468e-a25b-ae22a2b03bf5		1	705115006	446609009	239164002
e4c1983c-4301-42c8-813a-59b55b791bb2		1	705115006	446609009	234195006
50b8ee44-1d4f-4b5a-a02c-59ac1f2e3710		1	705115006	446609009	13140001
db3bc47a-c9b9-40cc-b094-67442a05b04e		1	705115006	446609009	110151001
7431074b-18cd-47b3-861f-3a427d6d3483		1	705115006	446609009	282080005
90d7f7a3-a926-499c-a720-5a1e4857ef5a		1	705115006	446609009	84997000
0bceb47d-8425-4dad-a277-4592c7ea6f98		1	705115006	446609009	262850009
98149c4f-8a77-4701-9f8f-a3a7afcd7e59		1	705115006	446609009	283037009
e0339334-b023-458f-b06c-342a34b9622e		1	705115006	446609009	240266004
8c99bcb2-1745-4018-9f09-13ab7958cb86		1	705115006	446609009	236761004
1d13aa2d-1196-46b8-b8b3-83e32743ae38		1	705115006	446609009	67438002
9f54b778-5d4e-4b8e-8c3d-f054efd68038		1	705115006	446609009	295501005
f5c93ab3-833d-4698-91a5-f378d308f495		1	705115006	446609009	57182000
8080f052-e96b-4013-9cd6-290dc6f31d4e		1	705115006	446609009	292605001
65d3a492-8bac-4d51-96fa-9ab48ca7d5bb		1	705115006	446609009	283027004
15df909b-299d-45a6-be3f-0e9ca7aa819c		1	705115006	446609009	7248001
8c37f233-dbc7-40df-9df3-e592cb5a2d0c		1	705115006	446609009	78508009
c270e29a-fe03-4f01-aa71-07a0d7e913d6		1	705115006	446609009	42458003
94a1e899-3238-457e-bc29-a277bc4c71f9		1	705115006	446609009	49384009
b3a45f54-b621-4c5a-82ef-696c8f1e0b4c		1	705115006	446609009	56892000
c6eb7bee-c89d-4ac3-8e92-0421bc59d1d0		1	705115006	446609009	212123004
6af6f37c-faa1-4efe-9df4-5dd50707f9fc		1	705115006	446609009	73830004
c95354a1-7083-4aab-8981-c830269faed7		1	705115006	446609009	233932001
ba28fb3a-89b0-40f2-bed5-8cb5c24818c7		1	705115006	446609009	212088008
c4fcd1b8-aa70-49f1-bb6f-de407e6f548f		1	705115006	446609009	24669002
15ac4a85-1c7a-4f7b-b5eb-8606244c6fad		1	705115006	446609009	17543009
291d9f2b-7be6-4f16-b19d-5157ae4edcdc		1	705115006	446609009	7765006
ebfd955c-8516-4ec9-8147-37f3ef375479		1	705115006	446609009	51694003
6a2bc291-0fd9-4163-881f-0986efa30f68		1	705115006	446609009	292279003
1f1d8a9b-72cf-4f3e-853b-35c6e800afb6		1	705115006	446609009	271118000
03958c5b-623e-49af-969d-5440c079214e		1	705115006	446609009	11196001
66f27156-203c-4258-b872-c5609a108595		1	705115006	446609009	210328006
5fb9307f-079d-4d42-98d2-dd7a2298083e		1	705115006	446609009	404207003
df722d13-8ea1-4a84-b6ef-506e1d95e854		1	705115006	446609009	110244000
d70fc86e-2a01-4719-aa48-7410adb4da3f		1	705115006	446609009	217670007
b2dcbaa4-b7cf-4a34-ad0b-2b0515185628		1	705115006	446609009	210363001
416c396a-885c-415c-99de-b328068505d0		1	705115006	446609009	22247000
6116e50c-551b-4ad1-9e5f-7343053a5daf		1	705115006	446609009	241769004
5c002a86-c075-4a1c-af75-18a5b3c8635b		1	705115006	446609009	41783004
ae8a6497-2e7d-44a4-836c-341b77a0f850		1	705115006	446609009	296003005
4f0e4225-1ebf-4cbf-8078-4db46bcf0888		1	705115006	446609009	271133008
54620e26-8ccb-475b-bab3-aad9798d3077		1	705115006	446609009	39451005
5f071ec5-9196-4049-9df7-7d3a08dea8a1		1	705115006	446609009	47255005
aa5665e5-5725-4c76-82d9-79f3255f4729		1	705115006	446609009	30227006
61467285-00e0-4e9e-9512-64e58e4d818c		1	705115006	446609009	296335002
3ea5173a-d72c-4ed1-bf10-f4a6e5b7e4e8		1	705115006	446609009	292382006
14f3f955-f274-4676-b1ec-f3d380812472		1	705115006	446609009	296830004
52b7329f-02b4-4e96-8194-caab0c5b2827		1	705115006	446609009	212073003
544ac39b-d174-48a8-a016-66483eb2d5e5		1	705115006	446609009	33890007
34d34ce0-4e63-4b40-bf8b-09d8c3abbc0a		1	705115006	446609009	37031009
af954627-21c4-4ea0-968e-e7f4376ee410		1	705115006	446609009	22508003
1264f16c-48c9-412f-aaed-5588b0b02cae		1	705115006	446609009	210358000
e2ecb3d1-cd95-4e41-b687-fb87412cc141		1	705115006	446609009	40904009
6108d45c-d6ef-4c0a-9f9e-a061761ee93e		1	705115006	446609009	440643006
628bdf89-96cb-4871-b152-b56e0ba3a251		1	705115006	446609009	219031007
cf3d3608-3cf0-4395-a315-286bd1959a20		1	705115006	446609009	302965003
9674e43c-5f8e-4a69-a713-2723a7ee83cb		1	705115006	446609009	275389001
1259733a-8428-4b22-9fed-cd73b91f4319		1	705115006	446609009	38577009
f326b0e3-2451-491a-ba76-62f6f570d8b5		1	705115006	446609009	295978008
d27adf62-1262-4f83-94e8-2d9837760f22		1	705115006	446609009	35776002
e752837f-8aac-48a8-bb23-1c511b1e83f0		1	705115006	446609009	125591009
a98526ab-af92-4d85-8910-13b91efaf520		1	705115006	446609009	274180001
ce1aa840-11f9-487d-801b-a8e83f9a2936		1	705115006	446609009	295778001
1b5913fd-d2f1-4a07-8b72-e4575d735bad		1	705115006	446609009	295350000
043c3301-0a71-49ae-8ddf-d3333bb0db18		1	705115006	446609009	44549008
e770389d-adbb-4ad4-9449-e2787918511e		1	705115006	446609009	35501005
7a6a8436-7a5b-4c1b-96d9-6cb315e8360e		1	705115006	446609009	34384008
aa161890-ee93-400f-a764-4b35da52de59		1	705115006	446609009	385486001
1b222a85-38b9-47ee-8af3-8dd06ad07d88		1	705115006	446609009	262853006
4fff1f3a-9a73-4505-b174-a16bee439cb6		1	705115006	446609009	7895008
05e9a0ec-9c56-4eef-af0c-82816ed64175		1	705115006	446609009	111769007
4ed4b99d-d0bf-49ed-90ea-a25d5220148c		1	705115006	446609009	262839006
38299021-cd2e-4ee5-9f1e-ab74629269e2		1	705115006	446609009	262581006
c0deea6c-9328-4557-8a88-0fe7d6546768		1	705115006	446609009	283364000
b0ae4e0e-0928-491f-ac6d-5cafbeb5f1dd		1	705115006	446609009	212097007
ad9bb7c3-74b7-495b-9f3e-e6a7394f79cc		1	705115006	446609009	74157006
174b0896-948c-4fc9-9791-9aa9bbb02cf9		1	705115006	446609009	281435002
96dbe1bc-aecd-493a-9f37-84e0eef4c0db		1	705115006	446609009	296609005
aa3955a7-c892-4eeb-b478-28bf9b454e9e		1	705115006	446609009	291121009
2ee65168-3adb-4d83-ab5d-96d09a3c8d3f		1	705115006	446609009	67181005
3e17e440-b9b6-4cc5-8eae-ed75ef25399d		1	705115006	446609009	78198009
ab347460-810c-4fae-b6fb-b33e425ac682		1	705115006	446609009	14448006
80933082-aa6c-4319-9dc3-dd98a8cadf87		1	705115006	446609009	262827003
0881486a-20ff-4246-a652-05b457f95da5		1	705115006	446609009	371077002
f891fa36-2e31-484c-a73b-4268e3f45496		1	705115006	446609009	447260005
89caf90b-3f69-4349-8c77-9e52cf43511d		1	705115006	446609009	13085003
9c7f3ece-fa6e-466e-b11a-e0145fda8030		1	705115006	446609009	296015009
611f5c7a-91be-4d80-a3ae-9e1fd0ee38e3		1	705115006	446609009	66207005
f3f7e190-eb98-421c-a5d5-10fddada3416		1	705115006	446609009	213075002
406c0257-504a-44f7-aee3-5bc83169ccbb		1	705115006	446609009	428110002
82561f53-2eb5-41e5-8cd0-1f7aff819d59		1	705115006	446609009	440144004
8cd5c8da-e581-4fb3-8230-df756fc31b7a		1	705115006	446609009	212835003
4e10495c-5bc9-4c0f-894b-49c571a9d5ea		1	705115006	446609009	236561002
b3621773-8cdf-4905-8940-18be0812dc1f		1	705115006	446609009	262952002
635a4d9a-f709-478c-b60b-03546fa92c4d		1	705115006	446609009	59037007
4c936828-678d-43c3-9d83-4cef15e23cac		1	705115006	446609009	292565005
f1c7ebea-04cf-448e-8295-b92cd48edb73		1	705115006	446609009	419639006
c987c20b-7e5c-4051-bcb1-7e65356daaf5		1	705115006	446609009	211689002
17e3b4ce-ea55-4d0e-8111-992208fa60a8		1	705115006	446609009	210994006
229ecf03-b810-4df3-bb47-059c89f766b8		1	705115006	446609009	290773007
ac2d66a3-f4d5-48df-a841-c4c335b90d42		1	705115006	446609009	293285001
d2826d00-b79b-43a7-a1ba-fd34b6b378a7		1	705115006	446609009	295371005
2a5d4179-ccfa-482e-91d1-6caa3314834c		1	705115006	446609009	398313001
be03cec1-da72-4193-8710-000934bd9b15		1	705115006	446609009	292045009
6bb9052a-21ea-418c-b50f-17734b99e1b7		1	705115006	446609009	271138004
ba6e301b-700b-479f-bac9-033cb6defbf2		1	705115006	446609009	81914009
e7a8150b-cbcc-47e0-a24e-cda03997b455		1	705115006	446609009	78340007
83625553-b37e-4156-a1ea-ea244627f885		1	705115006	446609009	16217003
836c0bba-5a7b-488e-8834-148138d69b6b		1	705115006	446609009	441492003
c81d4a77-af7b-4cfe-acba-bf743348f1c2		1	705115006	446609009	42434002
ea0165fa-60aa-4e13-9742-dbd1d1ac308a		1	705115006	446609009	262923000
7b9b3ebc-0743-432d-9910-ff3fb3784474		1	705115006	446609009	45982008
83d84d71-96e3-408b-927e-6e5347e6759d		1	705115006	446609009	293417004
9bf060f0-96de-4f5f-a7ec-df53e2fbc7b9		1	705115006	446609009	47546008
22680eb0-94db-432d-905e-2e4f3d0b01cd		1	705115006	446609009	398196000
9b282eb2-0cd3-4a50-93ab-965cd476576a		1	705115006	446609009	292040004
7ee43ce6-16ef-453f-9372-823ea0c80590		1	705115006	446609009	218790009
4a3a1fd6-9a7e-4a3e-9d71-fbcaae25e9cc		1	705115006	446609009	17769000
b1b9e965-57f2-4b90-b829-39e97c72c64b		1	705115006	446609009	296766006
7d9f1d06-4943-4cb0-a7a9-02d6ac09bfef		1	705115006	446609009	290369007
5b9a224f-dedf-4a4b-ada1-fe11637e948c		1	705115006	446609009	292327002
37fa276d-4d13-451b-8d1b-dd8bbd3f4519		1	705115006	446609009	45775001
46f21e29-5069-4401-8e6b-51c3c7084964		1	705115006	446609009	111716006
9f49e6f8-7cd1-4dcc-90fe-6344403e7d9e		1	705115006	446609009	430333000
02697c23-1d8d-4794-9932-3db06603c76e		1	705115006	446609009	64169002
9d237ce6-cb77-4dba-991b-d28936f0978e		1	705115006	446609009	269287005
72606da3-0cb0-477e-9163-e5de021cd5a7		1	705115006	446609009	275387004
404af51d-6312-4e51-b9fe-5329bb3ed277		1	705115006	446609009	295392005
9edd0051-29c2-47c6-99c5-3e496635ec78		1	705115006	446609009	210365008
74e4a7f6-2b53-4e38-bcfe-e31b77cbc52c		1	705115006	446609009	296321004
c570c1c9-a326-4daa-9a98-931dc92cd0c5		1	705115006	446609009	22564003
9fa76f78-8449-419a-a3d1-45dec5e0e830		1	705115006	446609009	210809009
a72abd71-776b-47e7-b425-0636844a4bdd		1	705115006	446609009	210993000
4c42e754-0d80-4742-bbe0-2c90075f7b56		1	705115006	446609009	296329002
cf8cf952-8731-4b50-a710-f784a88f61c5		1	705115006	446609009	61823004
c9988ea9-917d-4d42-a9e2-26fbf57c6b11		1	705115006	446609009	55030004
7490a160-2ea8-4130-8960-b2c497417d69		1	705115006	446609009	70176004
f6bfed4e-aeb1-4d88-b178-e74e0283b3c7		1	705115006	446609009	283501005
72e674f6-b89f-4eb7-b4f4-4719cd862159		1	705115006	446609009	40261006
bfdb40cf-891e-461b-b3ca-779c1c9b327c		1	705115006	446609009	210483004
b679b5c5-db1c-4d4e-9bb6-50bad59aaf27		1	705115006	446609009	212074009
badb84a0-b747-43b9-8122-f8b34f23bc16		1	705115006	446609009	127307002
c18e98d5-6066-4ba6-a6c6-5c5ac8712bf2		1	705115006	446609009	38354005
7d81378b-f8a4-4e5d-b8d5-55649e8c6364		1	705115006	446609009	429751004
fbb08134-8d43-426b-94e7-6425383a9c79		1	705115006	446609009	33847006
9c6f703a-0f85-4e7c-bf74-6903768e24ba		1	705115006	446609009	408672009
1df730e3-1882-451e-a8b4-1151af7d395a		1	705115006	446609009	269121000
8a53f68e-d26d-4ca2-8ebf-545496a272e0		1	705115006	446609009	845006
f736960f-793b-4a31-8433-9ca5bd5bd5cc		1	705115006	446609009	81884004
b7152633-61ed-4803-b9f0-02f50c41958b		1	705115006	446609009	234034005
5b3d7f34-7dc4-4157-824a-d2a5c533a058		1	705115006	446609009	45536007
7a9fb6d4-4795-4e92-a007-27000b03c38a		1	705115006	446609009	210323002
65d67f19-7ee7-4b99-a924-f1b28d2d1387		1	705115006	446609009	292095005
dce3cc7c-89dd-4b24-b4d5-820d4cb6f594		1	705115006	446609009	283915004
72ca19a5-c560-48f5-a3dd-776c38e3ef31		1	705115006	446609009	314978007
1642b448-3682-4187-ab09-121cd267e070		1	705115006	446609009	110164000
4fee9ad3-9408-4db7-8cb1-aea3befd7d2b		1	705115006	446609009	89614009
c9fcba49-e179-4ee2-b841-4a66a9d8d690		1	705115006	446609009	86473001
b0a8c4ef-21e1-4c5f-b019-c405477ce19e		1	705115006	446609009	79608006
3f95d6f1-5d79-4db0-98e6-41ec0eb4e6a5		1	705115006	446609009	59426001
97f11266-22d7-4f9a-9023-4e854656b309		1	705115006	446609009	127302008
2b3cd9e9-17d0-40a6-b33a-87158dddd67f		1	705115006	446609009	68565009
42da4bbf-8da4-4f0f-89bc-34335723bfcd		1	705115006	446609009	447649007
98a12065-c0d9-471e-b224-0555047b2646		1	705115006	446609009	262841007
ba67700a-0be9-4249-9026-56f064e20148		1	705115006	446609009	241748001
3f034340-8140-46e5-974e-b4a8f04d74e9		1	705115006	446609009	293409007
232160bb-9302-4db7-bb2e-8806ea7f495c		1	705115006	446609009	290888005
442d8665-04f7-4335-b1fd-36c9515b75a3		1	705115006	446609009	35447004
ebb385f4-e8dd-4577-8ae8-797bc3820af2		1	705115006	446609009	212109001
4c6b98ef-8e23-45dd-812a-72f3d2171d68		1	705115006	446609009	283500006
56b9f7e9-ac23-40b5-8c54-6f089b42078c		1	705115006	446609009	293539000
a9888afa-e995-4da1-a7de-3dd898d3a297		1	705115006	446609009	292522009
c72dfcb9-7a25-4376-ac18-47b060a743e6		1	705115006	446609009	292414000
9aad1800-b9e0-43c4-84ae-977ced80fed4		1	705115006	446609009	274179004
