id	effectiveTime	active	moduleId	refSetId	referencedComponentId
65172709-69cd-4063-9472-494f5613c64e		1	705115006	446609009	428745004
bdad04ab-63f5-4456-9750-8ca6330c51d4		1	705115006	446609009	57231000119103
4a35a200-51fa-4506-a22b-a240642a42f0		1	705115006	446609009	161676006
3bd0ab03-9a7d-4750-8430-4641c0b3c862		1	705115006	446609009	79556007
5f09f950-9785-4aba-bd56-950df5b1efa9		1	705115006	446609009	22066006
81a41609-ea8c-4b84-a6d4-10c46e2e4ae2		1	705115006	446609009	231812008
105658ef-47d9-47e2-9a2a-7141a78d17dd		1	705115006	446609009	90036004
91b3d50c-34a7-4dfa-b665-412e3290625c		1	705115006	446609009	42134006
1921c7ee-bd77-4b80-bc5f-06b64c8ad6b6		1	705115006	446609009	446617001
cc4ef93f-45be-4656-b2c4-a2aedecdaaf1		1	705115006	446609009	49891000119106
5318dff0-b9a1-435a-90dc-60a4ed2b741e		1	705115006	446609009	20636006
33db8bd7-18eb-439d-806a-0c0a1d3c2b10		1	705115006	446609009	28438004
4d4e91c3-373d-4177-8482-70796f8a1046		1	705115006	446609009	1909000
2201eabc-0336-4265-ab57-d30c29586298		1	705115006	446609009	232108003
a2b62950-b165-4aef-be06-c3fb3d9f6a2f		1	705115006	446609009	2790002
81dd0e81-459c-416c-8dae-c3e824d116da		1	705115006	446609009	68575007
b58b5288-0bde-4c26-a679-d6f97eb8d713		1	705115006	446609009	301939004
484bc549-4723-4482-a5bf-a17bd02014e2		1	705115006	446609009	231986000
88adca54-78f8-4999-9c50-b96b4bd77500		1	705115006	446609009	429448005
023a4933-43d8-4960-9c06-f6f866a57d20		1	705115006	446609009	444668001
c3b830fb-9f84-4e1c-a436-aecaf917eca1		1	705115006	446609009	39021009
a6ef14a6-ea48-4150-b8d6-1287c01fdd18		1	705115006	446609009	58244001
b3c88f57-19f8-4756-bacc-ada8391eda95		1	705115006	446609009	72983001
063a0d70-4ab3-48dc-95e7-23f1c173e5c4		1	705115006	446609009	313157004
007eb9da-f8a2-4086-a1b7-0d384055cd46		1	705115006	446609009	428459007
d068ccf6-4f85-4cc5-ad8e-0c43081a21b2		1	705115006	446609009	13282008
270e821e-cf42-4103-93ce-ea6c990427e8		1	705115006	446609009	89385006
57ffb8e6-4783-4511-802f-a55ec05999d0		1	705115006	446609009	37991008
77f23d7f-1f0d-427b-9485-ec289c3244c4		1	705115006	446609009	312219000
7428c2e0-b283-4180-9d67-3b3085bd045a		1	705115006	446609009	64635004
0d4b468b-b5f2-48fa-a27a-3bdad5fe6aeb		1	705115006	446609009	70321000119108
d038dc61-8cd3-42dd-b456-c76e3db25058		1	705115006	446609009	50455002
9d6bfa8d-aa51-49bf-a836-f9e8cb5690b9		1	705115006	446609009	50595002
2eedb95d-3058-4fbf-9494-1b62d690a402		1	705115006	446609009	3289004
c8360357-5e4e-4f11-a6fc-6aefb3d0283e		1	705115006	446609009	193745007
7f3b8d90-c3c1-49d0-a984-6df5da14aff8		1	705115006	446609009	112741000119100
bc4d78f5-18d7-4b90-bf51-b1b4b3f0d746		1	705115006	446609009	268160006
032bbaca-8ca4-48d9-ae03-39d4aba94ce5		1	705115006	446609009	253234004
fe41da09-e42f-4709-81e9-2a0a3a73e626		1	705115006	446609009	95339000
f3994e22-cbe5-4fcb-bf15-8723540d4bf1		1	705115006	446609009	70323002
ece7d3e1-1901-4ebe-a35a-392276819468		1	705115006	446609009	2576002
436939ba-05c5-482b-99e8-92901e938c1f		1	705115006	446609009	161670000
106b4da5-54fd-409f-9ad2-224f4377b7ae		1	705115006	446609009	240591000
01b53ff0-a2fa-499f-859b-0010114e1204		1	705115006	446609009	267728009
f7cb12ab-971c-42d9-9747-49c275b0207c		1	705115006	446609009	95802009
7a72e9f7-3381-4dc3-8aae-f5170ee2a43f		1	705115006	446609009	943003
5a97b131-22f6-484c-91be-60340a232d49		1	705115006	446609009	72020003
86a479f2-d684-4a46-b039-dae0eadd76d9		1	705115006	446609009	418087009
0b4fa9d3-b140-4341-b73c-372fbf08aff9		1	705115006	446609009	59257003
d48fcd0a-9449-4cac-ad2e-a6b91e36a43f		1	705115006	446609009	30272003
610258ac-94e0-4e17-8918-78ddc758f0af		1	705115006	446609009	206241005
45ca1dbe-9a0e-4cfd-8dda-b61b6a6a150c		1	705115006	446609009	95726001
bb63c77b-4d5a-4924-853c-faada3417eb0		1	705115006	446609009	35091000119101
029e68e2-2eec-46b7-b0ae-7c3c6d511e2c		1	705115006	446609009	343031000119102
3cc9e3c3-4976-4ee7-8519-55fc05fe4417		1	705115006	446609009	1112003
c46aac18-c64d-4e1e-b3a0-6ee90f0de5d6		1	705115006	446609009	361199007
267e59b5-22a5-47bb-936a-3450e648c637		1	705115006	446609009	43727009
a8e935bb-3c1a-4a98-ae39-f33fd9184d62		1	705115006	446609009	55634009
0203295b-d013-4bf4-aef4-aefb26124a00		1	705115006	446609009	193735005
aa2ae7cf-77b0-460d-b995-5293503b7bfa		1	705115006	446609009	21590003
46ff0820-a7eb-45f5-96a9-d037502b167a		1	705115006	446609009	426862007
8f52440b-e306-4f6d-af92-62319028ce37		1	705115006	446609009	415808001
9bc0b446-380f-4788-8448-17f72a73b7dc		1	705115006	446609009	428535004
499503e0-5339-4353-a3e2-2703b7eb5030		1	705115006	446609009	193523008
8d20f2cb-b016-4005-bd42-eb179f770788		1	705115006	446609009	3705009
5d66f0eb-14ea-4f91-bac8-fa00cfa93f07		1	705115006	446609009	14619009
69b83693-981a-491d-96ad-167ed37dd63d		1	705115006	446609009	4129001
6ba77169-44d5-4ddb-921b-e84155ec9bf0		1	705115006	446609009	563001
73b5b581-8e23-469a-9f15-a43b7eb4f4ba		1	705115006	446609009	429455007
d80233cd-054a-4e96-945a-d7886571ac7a		1	705115006	446609009	182131000119106
4c0b066d-e82e-4141-b86b-19faa6a143ba		1	705115006	446609009	69311000119103
9ef75c6c-c87a-4977-9c25-b429816ea238		1	705115006	446609009	342581000119102
287d69de-5655-48ad-ba29-f29904b99cf8		1	705115006	446609009	24566000
303cd9ef-c13f-41de-bb4b-f2bc6be6bfc8		1	705115006	446609009	65301000119104
845a347a-5934-418c-b267-659cbf7630f2		1	705115006	446609009	21011008
06ea88ec-f9d2-4d4d-b763-fe5f4872e63e		1	705115006	446609009	68610001
5ffbc1e5-da82-4095-9110-7a93a6f15923		1	705115006	446609009	46888001
23f6e797-cfdb-43b6-ab0a-ea714a38203c		1	705115006	446609009	131201000119108
c21b884a-25db-4e52-9de9-da0bd59e9d72		1	705115006	446609009	7469001
d3125734-1793-4ae2-a8ee-c907d02191fa		1	705115006	446609009	60505005
a577cc0f-b589-4dc8-a8ff-ae9170290eb1		1	705115006	446609009	26468004
c46d0185-f961-4588-8e54-3a26c8b464a6		1	705115006	446609009	18628002
9b8d26be-1645-4d7a-bc3d-d250a1ea4036		1	705115006	446609009	103841000119102
c5c5b4ca-ae88-45bb-b540-870fa9cf7998		1	705115006	446609009	8041000119108
7da0054d-50ab-4404-899c-d5c7c3d8eeef		1	705115006	446609009	431502008
80c02c72-6410-40c9-a643-6e2f1c46e8f7		1	705115006	446609009	402700001
92d0b055-bda8-4a35-a6d5-197eca6bd1f9		1	705115006	446609009	427813004
36fc43d0-2ba7-48a6-a511-891b3a20a87c		1	705115006	446609009	75663006
b64de6c2-5fef-4de0-82fb-ec553bc00a29		1	705115006	446609009	33401000119102
891a54ec-5a96-4246-8e45-7e2d3e18c2e0		1	705115006	446609009	193712007
ba2f5d07-7179-4be0-883f-0dc3d4ccf74f		1	705115006	446609009	254997007
cfa63107-d451-4f5a-b35a-d692d518a777		1	705115006	446609009	128602000
c80c20dd-b7f2-4447-a3ee-db1ff424d375		1	705115006	446609009	62619007
efe365c7-372e-4090-8f55-4124a8531f41		1	705115006	446609009	367469000
b495634a-f87d-4aaf-a74b-c485bd675377		1	705115006	446609009	19448008
e5b40ed3-4d40-4d66-99e5-4d3878cddf35		1	705115006	446609009	111519001
ccf33a64-fdd8-41fb-93b4-b7b41918dfd9		1	705115006	446609009	423405007
0cfe8156-7959-4eba-987c-c5c67bf573fe		1	705115006	446609009	23081000119102
ccc66da5-86d0-4a9c-9491-64a3583630e6		1	705115006	446609009	57805002
f97b2ff6-837a-434a-9751-f010da00455f		1	705115006	446609009	37125009
01032e1d-3692-478d-a363-70392140b3fd		1	705115006	446609009	230506000
1d57e8c5-6f5d-4728-a000-2d4aafb1f67b		1	705115006	446609009	4210003
