id	effectiveTime	active	moduleId	refSetId	referencedComponentId
3bd27f20-9864-45bc-9cd7-91409470b47f		1	705115006	446609009	64109004
291f2862-d66b-43cb-95c1-165ffe73f7be		1	705115006	446609009	13746004
c3f6476c-4992-4b04-94f6-03f5312e680e		1	705115006	446609009	95827002
6af8d956-c88c-42b8-807b-5a46bab15103		1	705115006	446609009	407374003
7bede90d-8511-4531-940b-913617a9b5eb		1	705115006	446609009	69896004
44d1fddd-9abc-45ac-9995-f1fdaea3d6d3		1	705115006	446609009	275538002
1b2e6d4f-3440-4d57-b999-c5c5dab58afe		1	705115006	446609009	179101003
5e437f83-5846-4258-9d3d-52af7f5860ac		1	705115006	446609009	250423000
d783f2dc-1fc8-4304-867e-a84539ec0d56		1	705115006	446609009	4406004
7d056360-fa09-4693-bb62-9f06fa922681		1	705115006	446609009	402599005
835c00aa-2bf2-4aaa-b8fb-3ef5755fbac0		1	705115006	446609009	228156007
4d3d749c-0772-4455-a046-56c49ca98280		1	705115006	446609009	77480004
40fca77c-f08e-42fe-b54f-5b3c4ffc0d61		1	705115006	446609009	131078003
72b68114-0c2a-4ce1-b70d-39f43695867f		1	705115006	446609009	85551004
e6c5dc12-f87e-42d9-9b54-273cbadd1425		1	705115006	446609009	196546001
7cceaea6-5bc2-4422-8c55-d9d3d07e0856		1	705115006	446609009	40979000
0d4b7634-48fa-424b-918e-2dcd751a796e		1	705115006	446609009	36485005
8833315c-90ff-4573-8446-ca0bc4f3f2ca		1	705115006	446609009	254666005
9d5a492a-734d-4639-bd3c-564fd3ae01e2		1	705115006	446609009	428869006
7d43943d-d743-412a-8547-aa785c248cfe		1	705115006	446609009	30731004
bd34e40a-615d-4487-af51-0226ada08d0f		1	705115006	446609009	162844000
c614ef5a-de70-4098-9221-24317bb2f932		1	705115006	446609009	161617006
63144662-ae06-4faa-87ba-5b89dfaa5202		1	705115006	446609009	88924008
42d72007-a80c-4db6-bc35-b428994a7342		1	705115006	446609009	85224001
ff27f4cf-bc24-40e0-9e9d-4dbe102f2616		1	705115006	446609009	2901004
945c6053-587f-4025-b333-273a0edbe73d		1	705115006	446609009	237754008
3fff6ac1-2630-413f-922d-95fb863a25e5		1	705115006	446609009	11092001
cd6417d5-80e9-4b10-8aec-63349aee480f		1	705115006	446609009	60826002
