id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget	expression	definitionStatusId	correlationId	contentOriginId
ca0ae3d5-7a73-4fba-92dc-1bfe14554361	20140926	1	705115006	705110001	705114005	16649-6	363787002:70434600=(386053000:704327008=418525009,704347000=(414237002:704319004=703062004,704320005=58370003,704318007=118524006),370132008=30766002)	900000000000073002	447557004	705117003
542f466d-1d19-4b1a-bfdf-1c506ad60ae0	20140926	1	705115006	705110001	705114005	6584-7	363787002:70434600=(386053000:246501002=702658000,370132008=117362005,704347000=(414237002:704320005=49872002,704318007=118584009),704327008=123038009)	900000000000073002	447557004	705117003
2c46e822-5e76-4737-9077-83ed07e3cad7	20140926	1	705115006	705110001	705114005	2857-1	363787002:70434600=(386053000:704327008=122592007,370132008=30766002,704347000=(414237002:704318007=118539007,704320005=102687007,704319004=50863008))	900000000000073002	447557004	705117003
739dac61-28fe-401a-a9c7-9921410360d1	20140926	1	705115006	705110001	705114005	50837-4	363787002:70434600=(386053000:704347000=(414237002:704318007=118556004,704319004=32457005,704320005=259295006),370132008=30766002,704327008=309051001)	900000000000073002	447557004	705117003
1a22074b-6e08-440b-9f87-60e6ee5e9ac0	20140926	1	705115006	705110001	705114005	32014-3	363787002:70434600=(386053000:704327008=122575003,246501002=702663001,246514001=415067009,704347000=(414237002:704318007=118552002,704320005=702964005,704325000=702962009,704319004=78014005),370132008=30766002)	900000000000073002	447557004	705117003
aa6aafd6-73d3-4e97-8a3b-d2b1a134a1b6	20140926	1	705115006	705110001	705114005	30065-7	363787002:70434600=(386053000:704327008=122575003,704347000=(414237002:704318007=118586006,704325000=15373003,704320005=37927000,704319004=78014005),370132008=30766002)	900000000000073002	447557004	705117003
fa19a77f-a48d-4151-b081-af628cad4467	20140926	1	705115006	705110001	705114005	6090-5	363787002:70434600=(386053000:370132008=30766002,704347000=(414237002:704320005=387931007,704318007=118569000,704319004=50863008),704327008=119364003)	900000000000073002	447557004	705117003
7ad582a6-3333-487c-84f3-9611d32dd003	20140926	1	705115006	705110001	705114005	30218-2	363787002:70434600=(386053000:704347000=(414237002:704320005=120813004,704318007=118569000,704319004=50863008),370132008=117363000,704327008=119364003)	900000000000073002	447557004	705117003
28c010dc-ca7a-40fe-84f9-00ff5853874c	20140926	1	705115006	705110001	705114005	712-0	363787002:70434600=(386053000:704327008=119297000,246501002=702663001,704347000=(414237002:704319004=87612001,704320005=702964005,704318007=118550005),370132008=30766002)	900000000000073002	447557004	705117003
f9f35c0b-a2e6-477f-966b-d0a8a72cb84f	20140926	1	705115006	705110001	705114005	2584-1	363787002:70434600=(386053000:704347000=(414237002:704320005=75799006,704318007=118569000,704319004=50863008),704327008=122592007,370132008=117363000)	900000000000073002	447557004	705117003
